scientificName,decimalLatitude,decimalLongitude,eventDate
"Katsuwonus pelamis (Linnaeus, 1758)",15.379371,109.095413,2024-08-23T06:54
"Katsuwonus pelamis (Linnaeus, 1758)",-5.21,-33.18,2024-10-04T13:48
"Katsuwonus pelamis (Linnaeus, 1758)",1.979514,-157.496673,2024-10-12T08:38:08
"Katsuwonus pelamis (Linnaeus, 1758)",-29.129294,173.434097,2024-10-26T17:42:36
"Katsuwonus pelamis (Linnaeus, 1758)",13.691023,123.674362,2024-10-27T19:03
"Katsuwonus pelamis (Linnaeus, 1758)",25.026684,55.082694,2024-10-06T11:24:21
"Katsuwonus pelamis (Linnaeus, 1758)",22.752262,-109.941201,2024-10-05T10:52:35
"Katsuwonus pelamis (Linnaeus, 1758)",-17.03642,42.59778,2024-11-12T16:34
"Katsuwonus pelamis (Linnaeus, 1758)",-5.20561,54.56616,2024-11-19T15:51
"Katsuwonus pelamis (Linnaeus, 1758)",36.791922,3.051203,2024-11-18T11:46
"Katsuwonus pelamis (Linnaeus, 1758)",-16.738574,168.246384,2024-11-27T17:28:46
"Katsuwonus pelamis (Linnaeus, 1758)",21.901592,-159.590072,2024-11-14T12:52:10
"Katsuwonus pelamis (Linnaeus, 1758)",-1.392706,120.737869,2024-12-28T13:20
"Katsuwonus pelamis (Linnaeus, 1758)",36.791389,3.0511,2024-12-31T11:16
"Katsuwonus pelamis (Linnaeus, 1758)",3.999989,-81.6005,2024
"Katsuwonus pelamis (Linnaeus, 1758)",4.00766,-81.602544,2024
"Katsuwonus pelamis (Linnaeus, 1758)",28.407316,121.655715,2023-01-14T15:36
"Katsuwonus pelamis (Linnaeus, 1758)",27.840794,-97.063607,2023-01-14T16:01
"Katsuwonus pelamis (Linnaeus, 1758)",-16.748032,-179.756562,2023-02-01T17:52:12
"Katsuwonus pelamis (Linnaeus, 1758)",-40.767005,174.853592,2023-02-12T14:42:22
"Katsuwonus pelamis (Linnaeus, 1758)",5.936804,80.565383,2023-03-02T11:08
"Katsuwonus pelamis (Linnaeus, 1758)",19.75745,-156.08397,2023-03-28T12:46:01
"Katsuwonus pelamis (Linnaeus, 1758)",-21.845912,35.454453,2023-03-25T11:36:32
"Katsuwonus pelamis (Linnaeus, 1758)",-36.44237,175.11289,2023-03-25T14:24
"Katsuwonus pelamis (Linnaeus, 1758)",19.635222,-156.234813,2023-03-28T12:29
"Katsuwonus pelamis (Linnaeus, 1758)",5.631389,-77.389719,2023-03-07/2023-03-16
"Katsuwonus pelamis (Linnaeus, 1758)",-22.8045,166.7523,2023-03-08
"Katsuwonus pelamis (Linnaeus, 1758)",-22.8045,166.7523,2023-03-08
"Katsuwonus pelamis (Linnaeus, 1758)",-22.8045,166.7523,2023-03-08
"Katsuwonus pelamis (Linnaeus, 1758)",-22.8045,166.7523,2023-03-08
"Katsuwonus pelamis (Linnaeus, 1758)",19.577343,-156.01524,2023-04-06T13:24:11
"Katsuwonus pelamis (Linnaeus, 1758)",19.3288,-110.792778,2023-04-19
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.7805,-111.044667,2023-04-25
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",18.991667,-112.080833,2023-04-24
"Katsuwonus pelamis (Linnaeus, 1758)",16.73718,-87.808627,2023-04-16T17:27Z
"Katsuwonus pelamis (Linnaeus, 1758)",-34.05612,25.5244,2023-05-01T16:32
"Katsuwonus pelamis (Linnaeus, 1758)",19.744992,-156.060608,2023-05-13T07:38:45
"Katsuwonus pelamis (Linnaeus, 1758)",-17.434554,-149.89005,2023-06-28T16:33:07
"Katsuwonus pelamis (Linnaeus, 1758)",-42.639334,-64.943524,2023-07-13
"Katsuwonus pelamis (Linnaeus, 1758)",-42.50833,-64.642164,2023-07-13
"Katsuwonus pelamis (Linnaeus, 1758)",-42.521487,-63.603018,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.460769,-63.611578,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.50833,-64.642164,2023-07-13
"Katsuwonus pelamis (Linnaeus, 1758)",-42.460769,-63.611578,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.521487,-63.603018,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.460769,-63.611578,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.423546,-64.612384,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.521487,-63.603018,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.639334,-64.943524,2023-07-13
"Katsuwonus pelamis (Linnaeus, 1758)",-42.460769,-63.611578,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.50833,-64.642164,2023-07-13
"Katsuwonus pelamis (Linnaeus, 1758)",-42.423546,-64.612384,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.521487,-63.603018,2023-07-11
"Katsuwonus pelamis (Linnaeus, 1758)",21.941028,-159.299418,2023-07-25T17:23:35
"Katsuwonus pelamis (Linnaeus, 1758)",-8.555287,119.431291,2023-08-05T16:53
"Katsuwonus pelamis (Linnaeus, 1758)",18.057794,120.37183,2023-08-15T12:56:48
"Katsuwonus pelamis (Linnaeus, 1758)",32.7131,-17.185742,2023-09-02T14:17:20
"Katsuwonus pelamis (Linnaeus, 1758)",-17.227697,119.355144,2023-09-08
"Katsuwonus pelamis (Linnaeus, 1758)",19.943078,-156.639205,2023-09-05T18:15:35
"Katsuwonus pelamis (Linnaeus, 1758)",5.885442,80.566516,2023-11-13T10:19
"Katsuwonus pelamis (Linnaeus, 1758)",5.861044,80.460508,2023-11-13T10:26
"Katsuwonus pelamis (Linnaeus, 1758)",7.099752,124.022381,2023-11-24T12:10:37
"Katsuwonus pelamis (Linnaeus, 1758)",23.098756,121.380387,2023-12-29T13:54:18
"Katsuwonus pelamis (Linnaeus, 1758)",-27.13252,-109.27618,2023-12-18T17:11:44
"Katsuwonus pelamis (Linnaeus, 1758)",-33.6,151.3,2022-02-20T22:38Z
"Katsuwonus pelamis (Linnaeus, 1758)",-20.454253,57.311853,2022-03-05T18:20:33
"Katsuwonus pelamis (Linnaeus, 1758)",17.381594,-62.451178,2022-03-30T20:36
"Katsuwonus pelamis (Linnaeus, 1758)",-15.97598,-5.80451,2022-04-13T15:02:58Z
"Katsuwonus pelamis (Linnaeus, 1758)",34.889072,-75.27994,2022-04-30T11:41
"Katsuwonus pelamis (Linnaeus, 1758)",21.05,109.117,2022-04-21
"Katsuwonus pelamis (Linnaeus, 1758)",22.978228,121.538897,2022-05-20T11:05
"Katsuwonus pelamis (Linnaeus, 1758)",23.082754,121.391218,2022-05-20T09:27
"Katsuwonus pelamis (Linnaeus, 1758)",-20.44858,-6.72134,2022-06-11T20:03Z
"Katsuwonus pelamis (Linnaeus, 1758)",13.12512,80.295542,2022-08-21
"Katsuwonus pelamis (Linnaeus, 1758)",40.0056,-69.55557,2022-08-28T03:29:15
"Katsuwonus pelamis (Linnaeus, 1758)",40.123988,-69.056634,2022-08-28T05:31
"Katsuwonus pelamis (Linnaeus, 1758)",29.683333,129.516667,2022-08-09
"Katsuwonus pelamis (Linnaeus, 1758)",27.568833,-92.397362,2022-09-02T05:24:58
"Katsuwonus pelamis (Linnaeus, 1758)",16.596983,-22.907559,2022-09-05T11:27:09
"Katsuwonus pelamis (Linnaeus, 1758)",-11.60813,-21.57092,2022-10-24T10:18
"Katsuwonus pelamis (Linnaeus, 1758)",18.031928,-63.087967,2022-10-30
"Katsuwonus pelamis (Linnaeus, 1758)",12.125713,-68.288124,2022-10-17
"Katsuwonus pelamis (Linnaeus, 1758)",26.202812,-94.898215,2022-11-11T17:41:35
"Katsuwonus pelamis (Linnaeus, 1758)",33.770405,-69.767013,2022-11-14T15:25:13
"Katsuwonus pelamis (Linnaeus, 1758)",18.2572,-74.100688,2022-11-23T10:52:49
"Katsuwonus pelamis (Linnaeus, 1758)",26.257893,-80.05636,2022-12-04T09:21
"Katsuwonus pelamis (Linnaeus, 1758)",-20.83906,111.59897,2022-12-02
"Katsuwonus pelamis (Linnaeus, 1758)",-20.8752,111.44704,2022-12-01
"Katsuwonus pelamis (Linnaeus, 1758)",-20.97094,111.34987,2022-12-01
"Katsuwonus pelamis (Linnaeus, 1758)",-22.99232,112.47763,2022-12-08
"Katsuwonus pelamis (Linnaeus, 1758)",-23.13834,112.81376,2022-12-08
"Katsuwonus pelamis (Linnaeus, 1758)",-23.13834,112.81376,2022-12-08
"Katsuwonus pelamis (Linnaeus, 1758)",-23.13834,112.81376,2022-12-08
"Katsuwonus pelamis (Linnaeus, 1758)",-23.13834,112.81376,2022-12-08
"Katsuwonus pelamis (Linnaeus, 1758)",-44.683333,-75.333333,2021-01-02
"Katsuwonus pelamis (Linnaeus, 1758)",-44.966667,-75.416667,2021-01-02
"Katsuwonus pelamis (Linnaeus, 1758)",-35.741845,175.15587,2021-02-13T11:02
"Katsuwonus pelamis (Linnaeus, 1758)",-34.18076,18.51052,2021-02-21T14:13
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
