fish_type,genus,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,source
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754752,89.283835,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
